36	662983
48	5586653
15	2997330
24	3041487
49	4287883
42	3008028
40	4669540
114	6216742
108	5579419
103	3921418
114	5246340
113	3620446
157	4865782
173	598429
181	3395081
188	5461264
181	3822041
290	5040410
293	1633739
356	6133722
327	87488
279	1025485
261	2355085
421	5215659
424	5907030
385	2670108
371	4810518
378	1947658
431	4037347
439	3799957
612	237054
508	600242
616	4488937
498	4629853
567	5418442
581	5473607
575	5269046
483	1186900
497	5539912
735	1965807
695	815084
729	3199701
706	2372893
663	1936471
703	3860357
713	2310610
748	5415434
812	1426454
833	1138979
786	3520931
856	4942548
824	1417753
761	6020158
805	4497140
856	2119507
1002	2144767
962	3762760
927	3450214
929	2791368
993	658582
953	4912299
910	4686287
989	486306
1032	1342592
1101	1302373
1081	527105
1077	2189234
1064	2143760
1042	1767796
1126	636693
1055	2825659
1101	4766509
1052	2482453
1061	5986273
1094	2917804
1053	3901664
1092	1592578
1198	5439230
1132	4746154
1140	340842
1227	5996702
1219	2961767
1202	4212717
1158	4377599
1194	3541079
1228	2599070
1210	5745706
1170	4235789
1199	2659638
1388	3201661
1327	2801898
1390	2248575
1307	988226
1364	5147469
1415	4727796
1365	4095291
1381	1911732
1328	3212514
1347	1691974
1284	2963674
1400	4214694
1386	3325405
1554	4492316
1530	1215902
1560	2743471
1446	1480361
1535	4195913
1541	1898709
1554	338249
1512	552877
1520	5994981
1554	5906163
1435	4924529
1478	2811461
1545	4675804
1434	2498247
1705	4803389
1657	2956304
1574	2384818
1627	5812438
1743	374399
1614	4969258
1630	1558674
1720	2412052
1649	5442341
1734	3786892
1578	1809616
1749	2782914
1691	404863
1644	3459068
1712	3734836
1660	5830794
1622	1557312
1755	5977256
1838	1826389
1776	6143580
1859	1289061
1768	4214565
1776	1604644
1872	146883
1789	2989149
1921	5085871
1845	20416
1825	6119046
1769	4902174
1825	3487869
1883	5487608
1790	880987
1926	5096465
1872	4956008
1880	5757273
1839	5369488
1902	196574
1849	129698
1829	2081816
1900	859941
1870	4191901
1770	2616153
1927	1311227
1850	559449
1871	1937052
1780	2184002
2057	5766817
2104	3423626
2088	1753229
2098	3251925
2156	3831362
2199	5867674
2207	2686980
2032	2633348
2161	5122078
2193	2915191
2106	6016369
2118	4018286
2170	3126088
